timestamp,CP_Chiller1_ChilledWaterFlowrate,CP_Chiller1_ChilledWaterReturnTemp,CP_Chiller1_ChilledWaterSupplyTemp,CP_Chiller1_CondenserWaterFlowrate,CP_Chiller1_CondenserWaterReturnTemp,CP_Chiller1_CondenserWaterSupplyTemp,CP_Chiller1_CoolingTons,CP_Chiller1_Efficiency,CP_Chiller1_kW,CP_Chiller2_ChilledWaterFlowrate,CP_Chiller2_ChilledWaterReturnTemp,CP_Chiller2_ChilledWaterSupplyTemp,CP_Chiller2_CondenserWaterFlowrate,CP_Chiller2_CondenserWaterReturnTemp,CP_Chiller2_CondenserWaterSupplyTemp,CP_Chiller2_CoolingTons,CP_Chiller2_Efficiency,CP_Chiller2_kW,CP_Chiller3_ChilledWaterFlowrate,CP_Chiller3_ChilledWaterReturnTemp,CP_Chiller3_ChilledWaterSupplyTemp,CP_Chiller3_CondenserWaterFlowrate,CP_Chiller3_CondenserWaterReturnTemp,CP_Chiller3_CondenserWaterSupplyTemp,CP_Chiller3_CoolingTons,CP_Chiller3_Efficiency,CP_Chiller3_kW,CP_CoolingTower1_CondenserWaterSupplyTemp,CP_CoolingTower2_CondenserWaterSupplyTemp,CP_CoolingTower3_CondenserWaterSupplyTemp,CP_CoolingTower4_CondenserWaterSupplyTemp,CP_CoolingTower5_CondenserWaterSupplyTemp,CP_CoolingTower6_CondenserWaterSupplyTemp,CP_CoolingTower7_CondenserWaterSupplyTemp,CP_CoolingTower8_CondenserWaterSupplyTemp,CP_CoolingTower9_CondenserWaterSupplyTemp,CP_TotalChilledWaterPump_kW,Total_CoolingTons,Total_Chiller_kW,Avg_ChilledWaterSupplyTemp,Avg_ChilledWaterReturnTemp,Avg_CondenserWaterSupplyTemp,Avg_CondenserWaterReturnTemp,System_Efficiency_kW_per_Ton
2011-10-18 22:00:00,0.0,13.785599999999999,16.3703,0.0,27.91409995,27.48385005,0.0,0.0,0.0,0.0,14.196700000000002,15.46345,0.0,27.91409995,27.48385005,0.0,0.0,0.0,405.11825050000004,13.626349999999999,9.317849955,777.2987455,29.6365499,26.94325,138.5494478,0.8104999995,94.58249975,26.999499800000002,26.9697498,26.96914985,26.98459975,27.018399699999996,26.9942501,26.937900050000003,27.107949650000002,26.85715,6.39400004,138.5494478,94.58249975,13.717199985,13.869549999999998,27.303650033333337,28.488249933333332,0.6826624086335766
2011-10-18 23:00:00,0.0,13.64715,16.43849995,0.0,27.807100050000003,27.3726004,0.0,0.0,0.0,0.0,14.045850000000002,15.590200000000001,0.0,27.807100050000003,27.3726004,0.0,0.0,0.0,406.2958995,13.2791,9.207900005,748.758202,29.809500250000003,26.93629975,128.86905045,0.8444000055,88.411,26.8927498,26.8628498,26.85655,26.857000149999998,26.883299599999997,26.873700050000004,26.789499999999997,26.971400199999998,26.71265005,6.419000045,128.86905045,88.411,13.745533318333335,13.657366666666666,27.22716685,28.474566783333334,0.6860530103331727
2011-10-19 00:00:00,0.0,13.502199999999998,16.4869004,0.0,27.72045,27.278249799999998,0.0,0.0,0.0,0.0,13.882499999999999,15.69125,0.0,27.72045,27.278499850000003,0.0,0.0,0.0,374.452449,13.065450000000002,9.184150005,746.3122465,29.051049799999998,26.591700100000004,110.18630040000001,0.9793499955,83.02900045,26.5643002,26.5248,26.515749900000003,26.509099900000002,26.54495005,26.5100501,26.4491499,26.639450099999998,26.37835015,6.150500015,110.18630040000001,83.02900045,13.787433468333333,13.48338333333333,27.049483249999998,28.163983266666666,0.753532881570457
2011-10-19 01:00:00,0.0,13.36675,16.522349900000002,0.0,27.6429499,27.1959503,0.0,0.0,0.0,0.0,13.749600000000001,15.7773,0.0,27.6429499,27.1959503,0.0,0.0,0.0,400.30015,12.977799999999998,8.524950055,746.9329534999999,29.18004995,26.30175,135.74274989999998,0.7925999960000001,91.6545006,26.2956499,26.27210005,26.27450005,26.27449985,26.31085015,26.29384975,26.227299900000002,26.415699949999997,26.13155015,6.3959999750000005,135.74274989999998,91.6545006,13.608199985,13.364716666666666,26.89788353333333,28.155316583333335,0.6752073364324854
2011-10-19 02:00:00,0.0,13.0791,16.5449502,0.0,27.573650249999996,27.1202994,0.0,0.0,0.0,0.0,13.557999999999998,15.84745,0.0,27.573650249999996,27.1202994,0.0,0.0,0.0,311.04659849999996,12.6116,7.77959997,747.7166540000001,28.7741502,26.336349900000005,113.06920055,0.7643000015,81.9599998,26.27500005,26.241999800000002,26.23069995,26.218100299999996,26.25770005,26.2391001,26.193400250000003,26.38099975,26.10239995,5.702999975,113.06920055,81.9599998,13.390666723333332,13.0829,26.8589829,27.9738169,0.7248658290792169
2011-10-19 03:00:00,0.0,12.903749999999999,16.555499849999997,0.0,27.509300200000002,27.052100000000003,0.0,0.0,0.0,0.0,13.4673,15.90395,0.0,27.509300200000002,27.052100000000003,0.0,0.0,0.0,345.45790150000005,12.79795,9.127049979999999,744.1674495,28.245249949999998,26.114549900000004,99.3466989,0.9011500065,78.47650039999999,26.08429985,26.032400000000003,26.028550250000002,26.016999950000002,26.052949899999998,26.0354498,26.00480025,26.1977999,25.944449900000002,5.952500049999999,99.3466989,78.47650039999999,13.862166609999997,13.056333333333333,26.739583300000003,27.754616783333333,0.7899255966118466
2011-10-19 04:00:00,0.0,12.8958,16.557700399999998,0.0,27.441549900000002,26.98480035,0.0,0.0,0.0,0.0,13.47955,15.948849999999998,0.0,27.441549900000002,26.98480035,0.0,0.0,0.0,337.09475299999997,12.8784,8.994649955,746.3419525,28.37019995,26.1546,97.92579989999999,0.8468000059999999,79.08750005,26.205900050000004,26.19210025,26.186949750000004,26.189300100000004,26.223850199999998,26.203999950000004,26.1570501,26.361150000000002,26.0896499,5.86700001,97.92579989999999,79.08750005,13.833733451666665,13.084583333333333,26.708066900000002,27.751099916666664,0.8076267963168307
2011-10-19 05:00:00,0.0,12.9192,16.553450149999996,0.0,27.3907996,26.931900300000002,0.0,0.0,0.0,0.0,13.489949999999999,15.9866499,0.0,27.3907996,26.931900300000002,0.0,0.0,0.0,372.889702,13.16085,10.20629999,741.5265440000001,27.896450199999997,26.0497503,84.0664001,1.1079999965,72.59750045,25.97039985,25.9455,25.9409,25.946750150000003,25.9731003,25.953950150000004,25.91539995,26.122449949999996,25.87205,6.139499955,84.0664001,72.59750045,14.24880001333333,13.189999999999998,26.6378503,27.559349799999996,0.8635733225598178
2011-10-19 06:00:00,0.0,13.125350000000001,16.5446001,0.0,27.346999899999997,26.8892001,0.0,0.0,0.0,0.0,13.59365,16.019049799999998,0.0,27.346999899999997,26.8892001,0.0,0.0,0.0,532.581902,13.285599999999999,9.416400025,794.9031955,29.14594995,26.078249900000003,163.99034845,0.8145499985000001,104.10949980000001,26.103900099999997,26.07804995,26.0714501,26.0821499,26.1159501,26.103250049999996,26.0340501,26.224550049999998,25.9815497,7.363000019999999,163.99034845,104.10949980000001,13.993349975000001,13.334866666666665,26.618883366666665,27.94664991666666,0.6348513847553814
2011-10-19 07:00:00,0.0,13.42005,16.5202495,0.0,27.302450099999998,26.85034995,0.0,0.0,0.0,942.8006939999999,16.15959985,8.930250005000001,0.0,27.302450099999998,26.85034995,609.39390055,0.6352500004999999,259.44000015,646.754191,15.74019995,11.748049954999999,814.280749,31.28009965,27.9274,240.52680289999998,0.40644999549999994,122.6974999,27.87694995,27.8929502,27.8944501,27.897450300000003,27.8958003,27.87979975,27.874000000000002,27.80555005,27.8156498,13.041000045,849.92070345,382.13750004999997,12.399516486666665,15.1066166,27.20936663333333,28.628333283333333,0.4496154741246172
